Modelo,RMSE_train,RMSE_val,RMSE_test,R2_train,R2_val,R2_test,MAE_train,MAE_val,MAE_test
Regresión Lineal,0.7234912598905712,0.7190105463092958,0.7328947615979627,0.6077984491875392,0.6134641989905405,0.5901323726773111,0.5294719054371092,0.531600961071951,0.5354015716117395
Random Forest,0.22640048743767013,0.5223137842012014,0.5141439625133344,0.9615941444915376,0.7960225407042724,0.7982888695833942,0.1462787800240736,0.33966272268000247,0.33668389791281383
Red Neuronal,0.4913967285288605,0.5148413025233561,0.5192542955454873,0.8190713885191049,0.801817198102091,0.7942591269408834,0.33285380249391555,0.3397713670390196,0.3509127571681981
